step,task,episodes,contact,stable_grasp,geometric_lift,supported_lift,normal_release,unintended_drop,recovered_after_drop,success,eval_info_sha256,physical_events_sha256
5000,0,10,9,1,2,0,0,0,0,0,4dd433d360ace4f565d8c2b7bf27cca6fdb53c9c366de6763eef1300fcec2c66,43a7238f1beebf021321d1e4f407df7c691918dc762d86979f52747729f88df5
5000,1,10,10,7,6,5,0,2,1,3,461cd675c52a60a094516a542c8f9456c6f2a9e9554e5e069595c6709ad3e9d2,1c613af511220ec3ea354eeea8f7603add250f2d40b49561bf7b34958e7a59d2
5000,2,10,7,2,4,2,0,0,0,2,e8d4f922a180acad6c504a0d41d984b577d350cb4fc265b8f7d2b616d2c561dc,006bdc30de4bc92366c54fac5cbbd3d5374ddeb3f2570f54f5c76a826a24ad85
5000,3,10,3,1,1,1,0,1,0,0,09b431afa8967da741503151f159b4b7243a7e23be4abac82ccaaad3689bcafe,2820e722dbbacb8a534be34853de59d764b5262ee3fa134bc371b230020af06c
10000,0,10,9,8,9,8,1,2,0,7,a37f32b01a7ef0abc4c116ccbc40071929882c988a61c7a895f0c707b05ceab2,49b6724e1fa400d51c8057268fde7a722f4c0bc24d315b0afd134c593b513ca7
10000,1,10,10,6,6,6,1,3,1,4,0caff531a7faad6f078929992ee2a1f870166d70720ed3cd1963d47dfbf20f3b,f04bead8891d7adb6e93c396cc46565f2149fdf7a0918a7df1c31cce887b29d1
10000,2,10,10,7,7,7,0,0,0,7,85f539e4a4e218390840d675ae72fff37db7a255f95dd4b6006c40891d33e4c1,87abe788e8b83a058244cc9e1c668866deb48679d4390c5aca0c1f0ba72e9f4c
10000,3,10,10,8,8,8,1,2,0,7,5f0163512bc208e506ca7542d93da660b8a2c114e293c821f587c148bf2f313a,2501b735ab68aee4c6595f1f5270c42880d995a78037a304c60f88474548b852
15000,0,10,10,8,8,8,0,0,0,7,852cb8ece462b6a8063342e0fce39aaedfc3bedaa5596a4fadba2c2d9eaaa289,30776811a119b91fa48bb3b41a8e66ce5034973fd2626023e7a1dd70dad67e16
15000,1,10,10,10,10,10,0,1,1,8,13d072ea28cce515246664890ed9b6f5864ac39cc6b6b8b7c08c96d93b4a8c13,4ca71a35aadee6f6e5c10a63e91884ca6e671ab43a12f90428bfc34c9869dc8a
15000,2,10,10,9,9,9,0,1,0,8,f3c94fa2bef8d1aa9108a7c333111f6461e657e534affbf1f7a877c150599b57,16750ee433a460d68fc8c07b4fa35e549c4453eb70342cfae523049e0ec4bd26
15000,3,10,10,9,9,9,1,2,0,7,d17304c5d23c10cb9c97a0cee98f455520467c256dc6ff8d111311245ab96fc2,1c130a08c0d8be6a141f1b9091354afa66081277556f1d4c3743da37e714f6c0
20000,0,10,9,7,8,7,0,1,0,7,5219146285db7a77b07cefeeaa4da78a44100f0cda59a742f12f885e1348f557,6c296d62ef11d57af3fa3ef17117af214810fba1b2fe27cb557239a0171d2d79
20000,1,10,10,10,10,10,0,0,0,10,33f6cf4e0b05baad710a76f3efc1ad56b9b441fee108cfa24b83aa91b9804c48,40c6fea9f373e48a7642544e7cdb3f882b31169c86b2b310921dd5fbce82eaa6
20000,2,10,10,9,9,9,1,1,0,9,67508a933c706cf65f597ee3d3501f594209fa6aea5a62491c339cfe2c176d96,9472211f511de8e0253926c4aabb68166721aa7f2e424d5e9e007d6f2ab55534
20000,3,10,9,9,9,9,1,3,0,7,53d32beb57916661ef21fffdc7463be8ff5520dab33193141ae0ad637f59529f,20809b35c08b276d9f16d1f3a0652ef4d855694668def28d3eb73de9671d7fcc
25000,0,10,10,8,9,8,1,0,0,8,9ffe43af5470b475198ea4873bfc9b443ce721531876543eb51b133a93170ab0,766aaff1af91d8eb64388febb05a01de933666a5466c9932e1b3e17e33c234cc
25000,1,10,10,10,10,10,0,2,2,10,583c7b3de4ee0cd5c1bee7223eae6f78f7b6cda8e62d5d3bf57e00b063f5f341,e93bfec16fc27132b899394c78a2f4bf07272a34833b0223159ce520241e82d5
25000,2,10,10,10,10,10,0,0,0,10,c5c31c64108c57cc3a5268cbe22e77f9dc0e7169218cbdf1e007e5c0d0bb280d,650141a4cd71075ece31582845e326137b18e12ab05d73b8c1e0d485fc384307
25000,3,10,10,10,10,10,3,2,0,10,603c2c094c9bb94346988d8bba3030f76a447689bebace65f6c13179cdeb123a,45bc55acebc29d2f2f52207150e107e93604ad128cde34fd64a8709f732dec54
