policy,representation,model_seed,ablation,case_id,seed,object_count,condition,layout_mode,success,bilateral_contact,stable_lift,wrong_object_stable_grasp,dropped,placement,ik_failure,physics_failure,steps,termination_reason,physics_hash,initial_state_hash
flat_seed_0,flat,0,none,id_normal:2:3178023727,3178023727,2,id_normal,normal,False,False,False,False,False,False,True,True,100,physics_failure,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,dabe9b286006893f5c296888ac031b3bc3011ba018eb15c1a8ab64ef5044f4db
flat_seed_0,flat,0,none,id_normal:3:337141941,337141941,3,id_normal,normal,False,False,False,False,False,False,True,True,74,physics_failure,70071402e99722a0a17822441cba244dcb48be455d447c2a5b68840ba01275c7,1fb8db72bbe277c7aac52466174b24c50b1080846391490650351d380c7e03ac
flat_seed_0,flat,0,none,count_ood:4:2726649518,2726649518,4,count_ood,normal,False,False,False,False,False,False,False,True,49,physics_failure,aa48439733886bd583b01221039413a8842465cf1179720858e892cb1800f5d1,3745937b86228c5de848f60c93f3037d42b1f1ce5421b992acb495aa4b2ec49a
flat_seed_0,flat,0,none,count_ood:5:73940029,73940029,5,count_ood,normal,False,False,False,False,False,False,False,True,68,physics_failure,7b1d1f028bd64e4e70b4be9244c4f91421732bd9e1ebfcdce2ebdedb44736588,7ff6bdeb8b3e2541ee70b5ec9f2d1577ba239594ef9d0f6124344c07ab5857d2
flat_seed_0,flat,0,none,crowded_ood:4:1824404925,1824404925,4,crowded_ood,crowded,False,False,False,False,False,False,True,True,67,physics_failure,aa48439733886bd583b01221039413a8842465cf1179720858e892cb1800f5d1,da79e450b0af349d8d457b0472e623beedbc0b195329e70811364adfa3283393
flat_seed_0,flat,0,none,crowded_ood:5:440647837,440647837,5,crowded_ood,crowded,False,False,False,False,False,False,True,True,75,physics_failure,7b1d1f028bd64e4e70b4be9244c4f91421732bd9e1ebfcdce2ebdedb44736588,e4c5ec95baa6024fb1438fc81a655d84830edd1763b074e8f2534cb923df23e9
flat_seed_0,flat,0,none,controlled_randomization:4:2374347537,2374347537,4,controlled_randomization,normal,False,False,False,False,False,False,True,True,76,physics_failure,7ce364404dd3d18a68e2dfce0e4ca1b9cec8bd1dc9e57587bcc29553705ae73a,9579ee503c5de2eacece9df237352c592b639b01c72a3c9e0531f64e250234a4
flat_seed_0,flat,0,none,controlled_randomization:5:3706993016,3706993016,5,controlled_randomization,normal,False,False,False,False,False,False,True,True,75,physics_failure,22d42f44790f02e099372336acd360d85d9273a088660d7f7d3258d3a683e58c,005727fd392609a0aa5cdc212ab6f7421a141c30e0686da1b5a78c5d2009ba33
graph_seed_0,graph,0,none,id_normal:2:3178023727,3178023727,2,id_normal,normal,False,True,False,False,False,False,False,True,47,physics_failure,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,dabe9b286006893f5c296888ac031b3bc3011ba018eb15c1a8ab64ef5044f4db
graph_edge_shuffle_seed_0,graph,0,edge_shuffle,id_normal:2:3178023727,3178023727,2,id_normal,normal,False,True,False,False,False,False,False,True,47,physics_failure,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,dabe9b286006893f5c296888ac031b3bc3011ba018eb15c1a8ab64ef5044f4db
